EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
  sin(theta)      0.98414      0.29975      0.68439
        PhiH      3.09200      3.09200      6.28318
        PhiR      4.04967      4.04967      0.00000

EVENT#  xtree0: 3100  xtree1: 3100
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.27951      1.27951      0.00000
        pimP      1.34792      1.34792      0.00000
        eleP      6.89120      6.89120      0.00000
          Q2      2.08655      2.08655      0.00000
           W      2.39865      2.39865      0.00000
           x      0.29980      0.29980     -0.00000
           y      0.34989      0.34989      0.00000
          Mh      0.77548      0.77548      0.00000
          xF      0.36566      0.36566     -0.00000
      PhPerp      0.42765      0.42765      0.00000
  sin(theta)      0.99958      0.74426      0.25533
        PhiH      4.64800      4.64800      0.00000
        PhiR      5.25315      5.25315      0.00000

EVENT#  xtree0: 3711  xtree1: 3711
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      4.92188      4.92188      0.00000
        pimP      1.14952      1.14952      0.00000
        eleP      2.01399      2.01399      0.00000
          Q2      4.34701      4.34701      0.00000
           W      3.55603      3.55603      0.00000
           x      0.26980      0.26980     -0.00000
           y      0.81000      0.81000      0.00000
          Mh      0.47403      0.47403      0.00000
          xF      0.53194      0.53194     -0.00000
      PhPerp      0.90673      0.90673      0.00000
  sin(theta)      0.63990      0.51951      0.12039
        PhiH      2.98960      2.98960      0.00000
        PhiR      5.29445      5.29445      0.00000

EVENT#  xtree0: 3795  xtree1: 3795
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.42945      1.42945      0.00000
        pimP      1.05712      1.05712      0.00000
        eleP      3.92762      3.92762      0.00000
          Q2      6.71021      6.71021      0.00000
           W      2.58673      2.58673      0.00000
           x      0.53592      0.53592     -0.00000
           y      0.62947      0.62947      0.00000
          Mh      0.58401      0.58401      0.00000
          xF      0.06889      0.06889     -0.00000
      PhPerp      0.48882      0.48882      0.00000
  sin(theta)      0.98491      0.89202      0.09288
        PhiH      3.89539      3.89539      6.28319
        PhiR      5.86669      5.86669      0.00000

EVENT#  xtree0: 3907  xtree1: 3907
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.05362      1.05362      0.00000
        pimP      2.04749      2.04749      0.00000
        eleP      5.36094      5.36094      0.00000
          Q2      4.84266      4.84266      0.00000
           W      2.42260      2.42260      0.00000
           x      0.49257      0.49257      0.00000
           y      0.49425      0.49425      0.00000
          Mh      0.56667      0.56667      0.00000
          xF      0.41506      0.41507     -0.00000
      PhPerp      0.04939      0.04939      0.00000
  sin(theta)      0.92856      0.18762      0.74095
        PhiH      5.29685      5.29685      6.28319
        PhiR      4.83016      4.83016      0.00000

EVENT#  xtree0: 4117  xtree1: 4117
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.74827      1.74827      0.00000
        pimP      1.11571      1.11571      0.00000
        eleP      3.29359      3.29359      0.00000
          Q2      4.28304      4.28304      0.00000
           W      3.21062      3.21062      0.00000
           x      0.31238      0.31238      0.00000
           y      0.68928      0.68928      0.00000
          Mh      0.76756      0.76755      0.00000
          xF      0.05132      0.05132     -0.00000
      PhPerp      0.70427      0.70427      0.00000
  sin(theta)      0.96988      0.94020      0.02968
        PhiH      5.47878      5.47878      0.00000
        PhiR      0.72976      0.72976      0.00000

EVENT#  xtree0: 4208  xtree1: 4208
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.41568      2.41568      0.00000
        pimP      1.72582      1.72582      0.00000
        eleP      2.22339      2.22339      0.00000
          Q2      4.30598      4.30598      0.00000
           W      3.50620      3.50620      0.00000
           x      0.27393      0.27393      0.00000
           y      0.79025      0.79025     -0.00000
          Mh      0.77323      0.77323      0.00000
          xF      0.17051      0.17051     -0.00000
      PhPerp      0.98260      0.98260      0.00000
  sin(theta)      0.98349      0.77062      0.21287
        PhiH      0.82480      0.82480      6.28319
        PhiR      3.24939      3.24939      0.00000

EVENT#  xtree0: 4337  xtree1: 4337
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.16391      1.16391     -0.00000
        pimP      1.96851      1.96851      0.00000
        eleP      4.57845      4.57845      0.00000
          Q2      3.15405      3.15405      0.00000
           W      3.00433      3.00433      0.00000
           x      0.27913      0.27913      0.00000
           y      0.56807      0.56807      0.00000
          Mh      0.41466      0.41465      0.00000
          xF      0.34489      0.34490     -0.00000
      PhPerp      0.59393      0.59393      0.00000
  sin(theta)      0.93769      0.61747      0.32023
        PhiH      3.09492      3.09492      6.28318
        PhiR      4.67169      4.67169      0.00000

EVENT#  xtree0: 4367  xtree1: 4367
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.29327      1.29327     -0.00000
        pimP      1.55205      1.55205      0.00000
        eleP      2.34561      2.34561      0.00000
          Q2      1.99396      1.99395      0.00000
           W      3.79159      3.79159      0.00000
           x      0.12873      0.12873      0.00000
           y      0.77872      0.77872     -0.00000
          Mh      0.53409      0.53409      0.00000
          xF      0.16329      0.16329     -0.00000
      PhPerp      0.65113      0.65113      0.00000
  sin(theta)      0.99420      0.81376      0.18044
        PhiH      3.42603      3.42603      6.28319
        PhiR      4.65841      4.65841      0.00000

EVENT#  xtree0: 4387  xtree1: 4387
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.15814      2.15814      0.00000
        pimP      3.17793      3.17793      0.00000
        eleP      2.49957      2.49957     -0.00000
          Q2      1.33775      1.33775      0.00000
           W      3.83972      3.83972      0.00000
           x      0.08800      0.08800     -0.00000
           y      0.76419      0.76419      0.00000
          Mh      1.08793      1.08793      0.00000
          xF      0.44721      0.44721     -0.00000
      PhPerp      0.55457      0.55457      0.00000
  sin(theta)      0.97951      0.43896      0.54055
        PhiH      3.62832      3.62832      0.00000
        PhiR      1.81218      1.81218      0.00000

EVENT#  xtree0: 4788  xtree1: 4788
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.55545      1.55545      0.00000
        pimP      4.30034      4.30034     -0.00000
        eleP      2.45647      2.45647      0.00000
          Q2      2.37985      2.37985      0.00000
           W      3.71244      3.71244      0.00000
           x      0.15573      0.15573      0.00000
           y      0.76826      0.76826      0.00000
          Mh      1.37058      1.37058      0.00000
          xF      0.43162      0.43162     -0.00000
      PhPerp      0.50519      0.50519      0.00000
  sin(theta)      0.87116      0.55618      0.31499
        PhiH      5.51734      5.51734      0.00000
        PhiR      6.14585      6.14585      0.00000

EVENT#  xtree0: 5010  xtree1: 5010
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.30497      2.30497      0.00000
        pimP      1.08618      1.08618      0.00000
        eleP      6.01317      6.01317      0.00000
          Q2      2.53910      2.53910      0.00000
           W      2.63603      2.63603      0.00000
           x      0.29499      0.29499     -0.00000
           y      0.43272      0.43272      0.00000
          Mh      0.94808      0.94808      0.00000
          xF      0.38675      0.38675     -0.00000
      PhPerp      0.47409      0.47409     -0.00000
  sin(theta)      0.92143      0.25099      0.67044
        PhiH      4.82985      4.82985      0.00000
        PhiR      2.00380      2.00380      0.00000

EVENT#  xtree0: 5060  xtree1: 5060
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.01020      1.01020      0.00000
        pimP      1.33186      1.33186      0.00000
        eleP      2.87215      2.87215      0.00000
          Q2      4.87172      4.87172      0.00000
           W      3.24196      3.24196      0.00000
           x      0.33594      0.33594      0.00000
           y      0.72904      0.72904      0.00000
          Mh      0.78133      0.78133      0.00000
          xF      0.03856      0.03856     -0.00000
      PhPerp      0.25579      0.25579      0.00000
  sin(theta)      0.98813      0.90794      0.08019
        PhiH      3.02400      3.02400      0.00000
        PhiR      1.10978      1.10978      6.28319

EVENT#  xtree0: 5348  xtree1: 5348
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.80147      1.80147      0.00000
        pimP      1.25942      1.25942      0.00000
        eleP      5.64362      5.64362      0.00000
          Q2      3.19273      3.19273      0.00000
           W      2.64357      2.64357      0.00000
           x      0.34327      0.34327     -0.00000
           y      0.46758      0.46758      0.00000
          Mh      0.28866      0.28866      0.00000
          xF      0.42477      0.42477     -0.00000
      PhPerp      0.60843      0.60843      0.00000
  sin(theta)      0.72131      0.59480      0.12651
        PhiH      2.69913      2.69913      0.00000
        PhiR      3.69112      3.69112      6.28319

EVENT#  xtree0: 5361  xtree1: 5361
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.33165      1.33165     -0.00000
        pimP      1.59511      1.59511      0.00000
        eleP      2.12814      2.12814      0.00000
          Q2      1.29779      1.29779      0.00000
           W      3.93451      3.93451      0.00000
           x      0.08163      0.08163     -0.00000
           y      0.79923      0.79923      0.00000
          Mh      0.54803      0.54803      0.00000
          xF      0.16390      0.16390     -0.00000
      PhPerp      0.68744      0.68744      0.00000
  sin(theta)      0.99442      0.78857      0.20585
        PhiH      2.50604      2.50604      0.00000
        PhiR      4.02942      4.02942      0.00000

EVENT#  xtree0: 5661  xtree1: 5661
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.92910      1.92910      0.00000
        pimP      2.12770      2.12770      0.00000
        eleP      2.16640      2.16640      0.00000
          Q2      2.10954      2.10954      0.00000
           W      3.82058      3.82058      0.00000
           x      0.13330      0.13330      0.00000
           y      0.79562      0.79562      0.00000
          Mh      0.70175      0.70175      0.00000
          xF      0.34618      0.34618     -0.00000
      PhPerp      0.42531      0.42531      0.00000
  sin(theta)      0.99855      0.50035      0.49819
        PhiH      4.37557      4.37557      0.00000
        PhiR      5.68490      5.68490      0.00000

EVENT#  xtree0: 6031  xtree1: 6031
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.08435      1.08435      0.00000
        pimP      1.31613      1.31613      0.00000
        eleP      6.78565      6.78565      0.00000
          Q2      2.18668      2.18668      0.00000
           W      2.41898      2.41898      0.00000
           x      0.30550      0.30550      0.00000
           y      0.35984      0.35984      0.00000
          Mh      0.99168      0.99168      0.00000
          xF      0.17656      0.17656     -0.00000
      PhPerp      0.25628      0.25628      0.00000
  sin(theta)      0.99406      0.83359      0.16046
        PhiH      1.09611      1.09611      0.00000
        PhiR      0.04423      0.04423      0.00000

EVENT#  xtree0: 6244  xtree1: 6244
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.07068      1.07068      0.00000
        pimP      1.04634      1.04634      0.00000
        eleP      4.25618      4.25618      0.00000
          Q2      5.91621      5.91621      0.00000
           W      2.62080      2.62080      0.00000
           x      0.49697      0.49697      0.00000
           y      0.59847      0.59847      0.00000
          Mh      0.77660      0.77660      0.00000
          xF     -0.03947     -0.03947     -0.00000
      PhPerp      0.24762      0.24762      0.00000
  sin(theta)      0.99992      0.94853      0.05139
        PhiH      4.61861      4.61861      6.28319
        PhiR      5.42106      5.42106      0.00000

EVENT#  xtree0: 7252  xtree1: 7252
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.33881      1.33881      0.00000
        pimP      1.73467      1.73467      0.00000
        eleP      5.57906      5.57906      0.00000
          Q2      2.47199      2.47199      0.00000
           W      2.79828      2.79828      0.00000
           x      0.26236      0.26236      0.00000
           y      0.47367      0.47367      0.00000
          Mh      0.41483      0.41483      0.00000
          xF      0.45817      0.45817     -0.00000
      PhPerp      0.44403      0.44403      0.00000
  sin(theta)      0.98470      0.51025      0.47446
        PhiH      2.41836      2.41836      0.00000
        PhiR      1.84289      1.84289      0.00000

EVENT#  xtree0: 8019  xtree1: 8019
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.66107      1.66107     -0.00000
        pimP      3.00310      3.00310      0.00000
        eleP      4.43072      4.43072      0.00000
          Q2      2.40675      2.40675      0.00000
           W      3.17026      3.17026      0.00000
           x      0.20789      0.20789     -0.00000
           y      0.58201      0.58201     -0.00000
          Mh      1.11141      1.11140      0.00000
          xF      0.39569      0.39569     -0.00000
      PhPerp      0.83139      0.83139      0.00000
  sin(theta)      0.95240      0.77463      0.17777
        PhiH      3.62387      3.62387      0.00000
        PhiR      4.23860      4.23860      0.00000

EVENT#  xtree0: 8008  xtree1: 8008
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.55646      1.55646     -0.00000
        pimP      2.58093      2.58093      0.00000
        eleP      4.81826      4.81826      0.00000
          Q2      2.33240      2.33240      0.00000
           W      3.06556      3.06556      0.00000
           x      0.21497      0.21497     -0.00000
           y      0.54545      0.54545      0.00000
          Mh      0.30361      0.30361      0.00000
          xF      0.52293      0.52293     -0.00000
      PhPerp      0.80915      0.80915      0.00000
  sin(theta)      0.77806      0.57130      0.20676
        PhiH      2.93197      2.93197      0.00000
        PhiR      2.30832      2.30832      0.00000

EVENT#  xtree0: 8519  xtree1: 8519
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.04606      1.04606      0.00000
        pimP      1.14337      1.14337      0.00000
        eleP      7.41043      7.41043      0.00000
