EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        PhiR      5.80878      5.80878      0.00000

EVENT#  xtree0: 18900  xtree1: 18900
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.46367      1.46367      0.00000
        pimP      2.71660      2.71660      0.00000
        eleP      2.13604      2.13604      0.00000
          Q2      2.40455      2.40455      0.00000
           W      3.78930      3.78930      0.00000
           x      0.15139      0.15139      0.00000
           y      0.79849      0.79849     -0.00000
          Mh      1.08815      1.08815      0.00000
          xF      0.26051      0.26051     -0.00000
      PhPerp      0.32064      0.32064      0.00000
  sin(theta)      0.94757      0.32207      0.62550
        PhiH      5.61305      5.61305      6.28319
        PhiR      2.13611      2.13611      0.00000

EVENT#  xtree0: 19028  xtree1: 19028
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.38682      2.38682      0.00000
        pimP      1.31483      1.31483      0.00000
        eleP      2.18125      2.18125      0.00000
          Q2      1.46695      1.46695      0.00000
           W      3.90020      3.90020      0.00000
           x      0.09286      0.09286     -0.00000
           y      0.79422      0.79422      0.00000
          Mh      0.58078      0.58078      0.00000
          xF      0.30772      0.30772     -0.00000
      PhPerp      0.55415      0.55415      0.00000
  sin(theta)      0.94317      0.47997      0.46320
        PhiH      3.82194      3.82194      0.00000
        PhiR      6.03816      6.03816      0.00000

EVENT#  xtree0: 19085  xtree1: 19085
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.91651      2.91651      0.00000
        pimP      1.56260      1.56260      0.00000
        eleP      5.16400      5.16400      0.00000
          Q2      4.03284      4.03284      0.00000
           W      2.65489      2.65489      0.00000
           x      0.39534      0.39534      0.00000
           y      0.51283      0.51283      0.00000
          Mh      1.51605      1.51605      0.00000
          xF      0.22491      0.22491     -0.00000
      PhPerp      0.40790      0.40790      0.00000
  sin(theta)      0.94560      0.95701     -0.01142
        PhiH      1.35004      1.35004      0.00000
        PhiR      0.91196      0.91196      0.00000

EVENT#  xtree0: 19229  xtree1: 19229
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.69775      1.69775      0.00000
        pimP      1.04423      1.04423      0.00000
        eleP      2.23136      2.23136      0.00000
          Q2      2.87728      2.87728      0.00000
           W      3.70232      3.70232      0.00000
           x      0.18322      0.18322      0.00000
           y      0.78949      0.78949      0.00000
          Mh      0.74097      0.74097      0.00000
          xF      0.02001      0.02001     -0.00000
      PhPerp      0.76095      0.76095      0.00000
  sin(theta)      0.96446      0.95650      0.00797
        PhiH      3.31745      3.31745      0.00000
        PhiR      4.79059      4.79059      0.00000

EVENT#  xtree0: 19254  xtree1: 19254
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.18520      1.18520      0.00000
        pimP      3.06879      3.06879      0.00000
        eleP      2.79595      2.79595      0.00000
          Q2      1.47083      1.47083      0.00000
           W      3.74889      3.74889      0.00000
           x      0.10043      0.10043      0.00000
           y      0.73623      0.73623      0.00000
          Mh      0.32374      0.32373      0.00000
          xF      0.33377      0.33377     -0.00000
      PhPerp      1.04937      1.04937      0.00000
  sin(theta)      0.48932      0.69671     -0.20739
        PhiH      3.99859      3.99859      0.00000
        PhiR      0.88975      0.88975      6.28319

EVENT#  xtree0: 19362  xtree1: 19362
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.22967      1.22967      0.00000
        pimP      1.12553      1.12553      0.00000
        eleP      2.50297      2.50297      0.00000
          Q2      7.80323      7.80323      0.00000
           W      2.87603      2.87603      0.00000
           x      0.51356      0.51356     -0.00000
           y      0.76387      0.76387      0.00000
          Mh      1.01603      1.01603      0.00000
          xF     -0.27212     -0.27212     -0.00000
      PhPerp      0.28673      0.28673      0.00000
  sin(theta)      0.99874      0.92875      0.06999
        PhiH      0.60760      0.60760      0.00000
        PhiR      4.14054      4.14054      0.00000

