 #revent pip_E pip_th pip_phi pip_phiH pip_pT pip_z pip_Mx pip_xF pip_etaCM pip_etaBF pim_E pim_th pim_phi pim_phiH pim_pT pim_z pim_Mx pim_xF pim_etaCM pim_etaBF phiH_rad pT phiR1 phiR2
 136 0.9704262 0.3701280 -0.907834 4.4058825 0.2548872 0.2316135 2.3929758 0.1459233 0.6487039 0.2285302 0.3650192 1.5624942 0.7468105 2.4195881 0.3334884 0.0871198 2.0922212 -0.343629 -1.088117 1.9653514 3.2105821 0.3279645 5.0703886 5.3297257
 134 1.1441242 0.3521225 -0.802009 1.2718837 0.3527505 0.4099771 1.7495887 0.2499554 0.6945800 0.0265616 0.4060352 0.7787275 -0.004854 2.7928040 0.1859341 0.1454957 2.0402142 0.0168290 0.0824951 0.6386464 1.7458477 0.4068715 0.7762471 0.2591159
 135 0.5257006 1.4354258 -1.406171 3.9898693 0.4693219 0.1844279 1.3241806 -0.409057 -0.799760 1.1392476 0.4760684 0.4842996 -1.309221 0.5410360 0.3154948 0.1670157 1.7283249 -0.110807 -0.335011 0.6744983 4.5048541 0.1937275 3.8665889 3.8591451
 159 5.5725488 0.1352844 1.3082563 1.1683516 0.8160389 0.6659121 2.1870614 0.5548958 1.0935410 0.2501517 2.3447375 0.1505592 -0.019370 3.4570464 0.2320895 0.2801930 3.3542740 0.2457783 1.3474345 -0.003741 1.4260087 0.6860172 0.9898189 0.8295291
 154 0.2365902 1.7200289 -1.515180 3.2421546 0.1902544 0.0702901 2.0677069 -0.245669 -1.074355 1.8448653 0.1998105 1.0307820 0.8194300 2.3148846 0.1080891 0.0593630 2.2649423 -0.097066 -0.638662 1.4091724 2.9153573 0.2693662 3.8458373 3.9762915
 157 0.3390959 0.6020101 1.5656535 5.0316103 0.1838634 0.1230672 2.0391335 -0.026103 -0.128571 0.8803775 0.3211750 0.9633316 0.1906244 3.3042345 0.1840930 0.1165632 2.0355751 -0.041983 -0.205737 0.9575427 4.1671925 0.2390386 5.7392522 5.7624403
 164 0.9103841 0.0451593 -0.531973 6.1708308 0.0631379 0.1638321 2.9569152 0.1339457 1.1450315 0.0161304 2.7325220 0.1303570 1.1104265 5.5662298 0.5234917 0.4917428 2.2677464 0.3830282 0.9782931 0.1828688 5.6285185 0.5765558 2.3486729 2.1395568
 145 1.7977236 0.3482599 -1.083676 5.4537001 0.7214135 0.2392933 2.6945909 0.0092264 0.0221255 0.7084826 0.4255346 0.8248963 0.8000079 4.0549365 0.2748884 0.0566425 3.1233070 -0.127155 -0.674498 1.4051066 5.1148639 0.8147978 5.8355968 0.3128421
 141 2.0063645 0.2264565 -0.502667 2.0521717 0.4003729 0.2279772 3.4750152 0.1619516 0.7117033 0.6360390 0.9117251 0.3669272 0.0120662 5.9289651 0.3590643 0.1035966 3.6463957 -0.003380 -0.017764 1.3655068 0.9892917 0.2756336 2.3988279 2.5451971
 160 1.0919386 0.4783901 0.1754042 4.0668850 0.3284279 0.2298073 2.3228065 0.1137011 0.4237726 0.0788245 0.4544398 0.8650463 1.3738774 1.5556995 0.3237720 0.0956405 2.2841898 -0.169026 -0.616982 1.1195799 2.8331820 0.2022372 4.3797606 4.5138087
